Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100nF","C_0805_2012Metric",-92.830000,-115.518750,180.000000,bottom
"C103","100nF","C_0805_2012Metric",-88.230000,-115.518750,0.000000,bottom
"C104","100nF","C_0805_2012Metric",-88.130000,-119.418750,0.000000,bottom
"C106","100nF","C_0805_2012Metric",-92.730000,-119.418750,180.000000,bottom
"C109","100nF","C_0805_2012Metric",-82.550000,-150.100000,0.000000,bottom
"D601","LED","D_0805_2012Metric",-63.062500,-153.200000,0.000000,bottom
"F101","Fuse","Fuse_1206_3216Metric",-122.100000,-140.000000,0.000000,bottom
"R103","10k","R_0805_2012Metric",-89.087500,-111.400000,180.000000,bottom
"R112","120R","R_0805_2012Metric",-132.187500,-136.000000,180.000000,bottom
"R113","120R","R_0805_2012Metric",-132.212500,-133.400000,180.000000,bottom
"R116","4k7","R_0805_2012Metric",-63.140000,-95.100000,-90.000000,bottom
"R117","4k7","R_0805_2012Metric",-66.840000,-95.043750,-90.000000,bottom
"R118","470R","R_0805_2012Metric",-71.940000,-94.987500,90.000000,bottom
"R601","2k2R","R_0805_2012Metric",-63.087500,-150.700000,0.000000,bottom
"R602","22R","R_0805_2012Metric",-63.075000,-142.200000,180.000000,bottom
"R603","22R","R_0805_2012Metric",-63.087500,-148.200000,180.000000,bottom
"R604","1k5R","R_0805_2012Metric",-63.087500,-145.400000,180.000000,bottom
"U103","CPC1961GS","SOIC-8_3.9x4.9mm_P1.27mm",-138.400000,-138.400000,-90.000000,bottom
"U701","MAX3221","TSSOP-16_4.4x5mm_P0.65mm",-102.755000,-89.043750,90.000000,bottom
