Ref,Val,Package,PosX,PosY,Rot,Side
"C102","20pF","C_0805_2012Metric",75.200000,-122.850000,0.000000,top
"C105","20pF","C_0805_2012Metric",70.900000,-108.450000,180.000000,top
"C107","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",130.630000,-119.918750,-90.000000,top
"C108","100nF","C_0805_2012Metric",75.550000,-96.800000,180.000000,top
"C111","100nF","C_0805_2012Metric",93.040000,-74.257500,0.000000,top
"C113","100uF","CP_Radial_D5.0mm_P2.50mm",105.090000,-66.557500,180.000000,top
"C114","100nF","C_0805_2012Metric",58.800000,-111.700000,-90.000000,top
"C115","100nF","C_0805_2012Metric",65.600000,-95.900000,180.000000,top
"C116","100nF","C_Rect_L7.0mm_W2.0mm_P5.00mm",103.930000,-78.418750,90.000000,top
"C117","100nF","C_0805_2012Metric",107.017500,-60.118750,180.000000,top
"C201","100nF","C_0805_2012Metric",115.800000,-98.550000,90.000000,top
"C301","100nF","C_0805_2012Metric",75.630000,-138.348750,180.000000,top
"C401","100nF","C_0805_2012Metric",91.655000,-138.343750,180.000000,top
"C501","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",150.630000,-47.618750,180.000000,top
"C502","470uF","CP_Radial_D5.0mm_P2.50mm",138.630000,-56.623863,90.000000,top
"C503","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",141.130000,-61.518750,180.000000,top
"C504","100uF","CP_Radial_D5.0mm_P2.50mm",131.700000,-47.994888,-90.000000,top
"C505","1000uF","CP_Radial_D5.0mm_P2.50mm",120.230000,-66.718750,180.000000,top
"C506","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",131.430000,-62.718750,90.000000,top
"C701","0.1uF","CP_Radial_D5.0mm_P2.50mm",104.649887,-98.343750,0.000000,top
"C702","0.1uF","CP_Radial_D5.0mm_P2.50mm",111.055000,-93.543750,90.000000,top
"C703","0.1uF","CP_Radial_D5.0mm_P2.50mm",101.060112,-98.243750,180.000000,top
"C704","0.1uF","CP_Radial_D5.0mm_P2.50mm",96.360112,-92.243750,180.000000,top
"C705","0.1uF","CP_Radial_D5.0mm_P2.50mm",111.055000,-86.443750,90.000000,top
"D101","LED","D_0805_2012Metric",73.050000,-105.062500,90.000000,top
"D501","SS36","D_SMA",140.130000,-48.218750,90.000000,top
"D502","MBR360","D_SMA",127.030000,-66.518750,0.000000,top
"F501","24VPowerFuse","R_1206_3216Metric",155.330000,-47.718750,90.000000,top
"J101","ProximitySensorConnector","PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical",137.710000,-123.663750,0.000000,top
"J102","PWM CONN","PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical",48.760000,-102.422500,0.000000,top
